DataSet,split,hybrid,Accuracy,Precision,Recall,F1-Score,AUC,MCC,ErrorTipoI,ErrorTipoII,MatrixConfusion
loan_data_set.csv_patrones,gini,True,0.6771,0.6966,0.9394,0.8,0.5197,0.0702,0.9,0.0606,"[[3, 27], [4, 62]]"
loan_data_set.csv_arbol,gini,True,0.6771,0.7011,0.9242,0.7974,0.5288,0.0916,0.8667,0.0758,"[[4, 26], [5, 61]]"
loan_data_set.csv_patrones,twoing,False,0.6771,0.6966,0.9394,0.8,0.5197,0.0702,0.9,0.0606,"[[3, 27], [4, 62]]"
loan_data_set.csv_arbol,twoing,False,0.6771,0.7011,0.9242,0.7974,0.5288,0.0916,0.8667,0.0758,"[[4, 26], [5, 61]]"
loan_data_set.csv_patrones,entropy,False,0.6562,0.6897,0.9091,0.7843,0.5045,0.0145,0.9,0.0909,"[[3, 27], [6, 60]]"
loan_data_set.csv_arbol,entropy,False,0.6562,0.6897,0.9091,0.7843,0.5045,0.0145,0.9,0.0909,"[[3, 27], [6, 60]]"
loan_data_set.csv_patrones,entropy,True,0.6562,0.6897,0.9091,0.7843,0.5045,0.0145,0.9,0.0909,"[[3, 27], [6, 60]]"
loan_data_set.csv_arbol,entropy,True,0.6562,0.6897,0.9091,0.7843,0.5045,0.0145,0.9,0.0909,"[[3, 27], [6, 60]]"
newhmeq.csv_patrones,gini,False,0.9198,0.9254,0.9918,0.9575,0.5876,0.3277,0.8167,0.0082,"[[11, 49], [5, 608]]"
newhmeq.csv_arbol,gini,False,0.9198,0.9254,0.9918,0.9575,0.5876,0.3277,0.8167,0.0082,"[[11, 49], [5, 608]]"
newhmeq.csv_patrones,gini,True,0.9198,0.9254,0.9918,0.9575,0.5876,0.3277,0.8167,0.0082,"[[11, 49], [5, 608]]"
newhmeq.csv_arbol,gini,True,0.9198,0.9254,0.9918,0.9575,0.5876,0.3277,0.8167,0.0082,"[[11, 49], [5, 608]]"
newhmeq.csv_patrones,twoing,False,0.9198,0.9254,0.9918,0.9575,0.5876,0.3277,0.8167,0.0082,"[[11, 49], [5, 608]]"
